track_id,artists,trackname,album,name_of_playlist
4wfyFIRnxdIN0v4OGtXcX3,Linkin Park,What I've Done,Minutes to Midnight,lp
5AMWj2Dc7oNb4qCHb5cOad,Linkin Park,Valentine's Day,Minutes to Midnight,lp
0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,The Diary of Jane - Single Version,Phobia (Clean Version),lp
1AEYT6VxrxXPMoQUxsY0E4,Trapt,Headstrong,Trapt,lp
7m2YVkhv7Z75SBHnf2GEoM,Bobbi Humphrey,New York Times,The Best Of Bobbi Humphrey,the six
5Z3aDchz1sW073glKhRsWC,Bobbi Humphrey,Uno Esta,The Best Of Bobbi Humphrey,the six
1by4itCnmJtqK7EU3RSCU3,Bobbi Humphrey,Harlem River Drive,The Best Of Bobbi Humphrey,the six
1Px2WDymmyS0GFKaAb1R25,Bobbi Humphrey,Blacks And Blues,The Best Of Bobbi Humphrey,the six
0G1OPNH21K1bfccZrBtTH6,Bobbi Humphrey,The Trip,The Best Of Bobbi Humphrey,the six
7CrNF9zL7tIQ2269DVxzST,The Dave Brubeck Quartet,Blue Rondo à la Turk,Time Out,the six
6HvyFdP5JrCQdmxq2qi7MC,The Dave Brubeck Quartet,Strange Meadow Lark,Time Out,the six
1YQWosTIljIvxAgHWTp7KP,The Dave Brubeck Quartet,Take Five,Time Out,the six
3k5O0RKO6zEqu9JJ7JqxDX,The Dave Brubeck Quartet,Three to Get Ready,Time Out,the six
3XfaSRXfGuWT1rrn9lWx30,The Dave Brubeck Quartet,Kathy's Waltz,Time Out,the six
0rPnB0NJl0z781OVZIc0WE,Dave Brubeck Trio,Body And Soul,The Very Best Of Dave Brubeck,the six
4zXlMd3w3dHeH0beyAezyZ,B. Bravo,Please Oh Please,Cosmic Mind,the six
7DfAgqUyK2lvxpy63GqQbB,Chris Brown,Say You Love Me,Slime & B,the three
185ciwUe4FUDPG7VHFNzcv,Miles Davis,Violets (feat. Phonte),Everything's Beautiful,the three
0JBi8HoBEDXNgcMacf4k6d,Jay Prince,I Believe in You,Late Summers,the three
6o55OvzOSndGHqgFFtWcMX,Jay Prince,My Side,Late Summers,the three
2OjcRECqk95Ghk6OHmyO5C,Jay Prince,Head Right,Late Summers,the three
0wDPw6OTxg0yMe5M7nusEs,Jay Prince,4u/Lately,Befor Our Time,the three
77DJFSS5IzbFy9kDT0kPTR,Jay Prince,All You,Befor Our Time,the three
26oAdWR4AJGEeveBDzyEGK,Jay Prince,The Trip,Befor Our Time,the three
0iVgZJjrMRRHgauxHOvoR4,Jay Prince,1993,Befor Our Time,the three
7rNOe6TJhf2INSLF1fdlSk,Jay Prince,Polaroids,Befor Our Time,the three
14EOf8siDQF6tm8qUOzmEi,Waldo,Rushed Perfection,Until Then,the three
3Y2hhrKULv8HR2Y7Sp1okF,Waldo,Crossroads (feat. SPZRKT),Until Then,the three
1wMD5SramEhA4DuNFVqctn,Waldo,SNS,Until Then,the three
3pYAyPNDPPtweSbhiLZC15,Waldo,'97 Ford Expedition (feat. Joose The Conqueror),Be Ever Wonderful,the three
6HGmMpWELz5wrMA9XS3KrJ,Waldo,Something U Forgot,Be Ever Wonderful,the three
6efkcs2aUBMFKxl0cl2JWQ,Smino,Wild Irish Roses,blkswn,the three
06BLANboqUEnvBHJH0aViQ,Smino,Glass Flows,blkswn,the three
4hP7NIeToP2hU6lyvIHPyp,Smino,Netflix & Dusse,blkswn,the three
7kGvCy8SWzrxhAyZxtSNdO,Smino,Anita,blkswn,the three
1BFFcF83SmsS6cKBLZGjkc,Smino,blkswn,blkswn,the three
3Zau3JcrZcBfw8aVjKGkSX,Smino,Amphetamine,blkswn,the three
5T83mIYNsu1lCubhpAIbcO,Cousin Stizz,Lambo,One Night Only,the three
7wXAlLLAefcfliICOj66tk,Cousin Stizz,Paid,One Night Only,the three
16SSSA1qsR7XjFem5Pow5O,Cousin Stizz,No Explanation,Suffolk County,the three
2uyqb1Q8FMvFrygHt99uan,Cousin Stizz,500 Horses,Monda,the three
1w73kd0HVohmAdo52DrpnH,Cousin Stizz,Million Things,Monda,the three
1ptsownbhGmvBKmE7IMv3p,Latto,Sex Lies (feat. Lil Baby),Queen of Da Souf (Extended Version) [Deluxe Version],the three
6cd2tdKT4gvPXbV6dB5zxC,EARTHGANG,A.W.O.L.,Strays with Rabies,the three
3tLh6BDDmW67yu57ZyLriJ,EARTHGANG,Masturpeace,Strays with Rabies,the three
6fUHMhwKBSmetq2T1PvCKK,EARTHGANG,Liquor Sto',Strays with Rabies,the three
22irp40MtAAatGBNsWE3du,Lil' Flip,Sunshine (feat. Lea),U Gotta Feel Me,the three
0UNTBB02C1aB55Fu4H63qd,Chingy,One Call Away,Jackpot,the three
5hF2LnbkpnXCkksMSeWcxZ,Chingy,Pullin' Me Back,Hoodstar (Deluxe Edition),the three
3B7i9OKRRmIsSBHEbJz58Y,Pretty Ricky,Grind With Me,Bluestars,the three
4hrae8atte6cRlSC9a7VCO,Ja Rule,Always On Time,Pain Is Love,the three
0nNY7kR1TjRcZYAMi08rCy,GoldLink,Pray Everyday (Survivor's Guilt),At What Cost,the three
15EPc80XuFrb2LmOzGjuRg,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),At What Cost,the three
7qcxGQNLJup67pQwTKsR8E,GoldLink,Roll Call (feat. Mya),At What Cost,the three
3NsPvsr9VrcMtAxJ50XCL9,GoldLink,Summatime (feat. Wale & Radiant Children),At What Cost,the three
564oa00vY05d1uYnTEAAmE,GoldLink,Herside Story,At What Cost,the three
7jaYiqwCFQDdtxfQaSzZuM,GoldLink,Meditation (feat. Jazmine Sullivan & KAYTRANADA),At What Cost,the three
6AOcDjTt4jfe9ostQ6eAs7,GoldLink,Same Clothes As Yesterday (feat. Ciscero),At What Cost,the three
4sH2Oc6BkJgDXvYLinK0sw,GoldLink,New Black,"And After That, We Didn't Talk",the three
60ZZNXIdwgUGkVGRt7foLT,GoldLink,Late Night (feat. Masego),"And After That, We Didn't Talk",the three
6Yh1OsdY5IMeUHPMplkQj2,GoldLink,Dance On Me,"And After That, We Didn't Talk",the three
2LvpVkv0z8oFMcc048FfJd,GoldLink,Spectrum,"And After That, We Didn't Talk",the three
7MIGNUCE2lKsWXHjUT4EHO,GoldLink,Zipporah,"And After That, We Didn't Talk",the three
5q3KB1x3ijlmigg9nNJ3uE,GoldLink,Dark Skin Women,"And After That, We Didn't Talk",the three
3O4kWlPCEwWCGSrHsv3CS9,Sean Leon,Parkdale Cartel Freestyle II,C.C.W.M.T.T.,the three
2WUqVbUrIHeVjRo6G5Bq0k,Sean Leon,Turf,C.C.W.M.T.T.,the three
1daHl67gWjY0ZUZR7zMTG9,Sean Leon,Vintage,C.C.W.M.T.T.,the three
2BAub2rJqCDQfMl2PtZoLW,Sean Leon,Laying Low (Cooking Up),C.C.W.M.T.T.,the three
1ZLfRwNX7U1EqkBnPkLoB3,Sean Leon,2017,C.C.W.M.T.T.,the three
4AeO2JhOo8r88k0Z6t51tT,Lonny X,4real - prod. Gravez,Full Court Press,the three
1ZpbU1XV0UkWCuKy3LVNnE,Lonny X,Moment - prod. Fortune,Full Court Press,the three
0YImOCkIJ2PWhCXaURCZnY,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),It Ain't Safe No More. . .,the three
2iclfHORMqpR3TxuhwVRhD,Ja Rule,Mesmerize,The Last Temptation,the three
7i5RXnzpMvNaWSKpb8AtMC,Lou Phelps,Come Inside (feat. Jazz Cartier),Come Inside,the three
4IO2X2YoXoUMv0M2rwomLC,Playboi Carti,Long Time - Intro,Die Lit,the three
3L0IKstjUgDFVQAbQIRZRv,Playboi Carti,R.I.P.,Die Lit,the three
1JgkiUg9mSXSwcb5Gbi4Ur,Playboi Carti,Lean 4 Real (feat. Skepta),Die Lit,the three
0syXbGoFZbTMXm8hGCEvW0,Playboi Carti,Old Money,Die Lit,the three
3K6U7TamNyVSWcFH8pCQHX,Playboi Carti,Love Hurts (feat. Travis Scott),Die Lit,the three
2BJSMvOGABRxokHKB0OI8i,Playboi Carti,Shoota (feat. Lil Uzi Vert),Die Lit,the three
475jSz0H6U3duJyNiDS0tT,Playboi Carti,Right Now (feat. Pi'erre Bourne),Die Lit,the three
2rPSFKzGeqUWwfcCFVkkq3,Playboi Carti,Poke It Out (with Nicki Minaj),Die Lit,the three
424qpX6swdUdhLq95cecNu,Playboi Carti,Pull Up,Die Lit,the three
